Id;Label;Interval;Degree;Weighted degree;Eccentricity;Closeness Centrality;Harmonic Closeness Centrality;Betweenness Centrality;PageRank;Component ID;Modularity Class;Clustering Coefficient;Number of triangles;Eigenvector Centrality
ACTIVE LEARNING;ACTIVE LEARNING;;6;46.0;4.0;0.30774550484094054;0.34438202247191013;0.0014372234096188545;0.0019249644369734626;0;9;0.0;0;0.14160009386239206
ADAM;ADAM;;13;102.0;3.0;0.35429936305732485;0.3726591760299631;0.012845539858112893;0.004415044464038094;0;2;0.0;0;0.22067888954513715
ADOBE ILLUSTRATOR;ADOBE ILLUSTRATOR;;1;8.0;4.0;0.26300236406619387;0.2705992509363293;0.0;9,73E+11;0;5;0.0;0;0.007185605726270189
ADOBE PHOTOSHOP;ADOBE PHOTOSHOP;;1;1.0;4.0;0.26300236406619387;0.2705992509363293;0.0;9,73E+11;0;5;0.0;0;0.007185605726270189
ADRIAN;ADRIAN;;23;192.0;3.0;0.36003236245954695;0.38764044943820297;0.012642354794593984;0.006461698629985679;0;2;0.0;0;0.38593246494133165
AGILE METHODOLOGIES;AGILE METHODOLOGIES;;1;8.0;4.0;0.26300236406619387;0.2705992509363293;0.0;9,73E+11;0;5;0.0;0;0.007185605726270189
AI AGENTS;AI AGENTS;;11;84.0;4.0;0.3257686676427526;0.3715355805243447;0.005523715276927186;0.0032202494368732794;0;2;0.0;0;0.25884862846523893
AI GOVERNANCE;AI GOVERNANCE;;3;24.0;4.0;0.28821243523316065;0.31404494382022446;1,97E+12;0.001095723848916553;0;3;0.0;0;0.08316518431848685
AI HARDWARE OPTIMIZATION;AI HARDWARE OPTIMIZATION;;1;7.0;4.0;0.2667865707434053;0.2773408239700371;0.0;7,00E+11;0;9;0.0;0;0.013629693973408297
AI MODEL DEPLOYMENT;AI MODEL DEPLOYMENT;;7;56.0;4.0;0.319683908045977;0.36048689138576784;0.002317154106437676;0.002178410573423333;0;8;0.0;0;0.2179630040256436
AI MODEL MONITORING;AI MODEL MONITORING;;5;40.0;4.0;0.30689655172413793;0.3423220973782771;7,19E+11;0.0015880174635917606;0;2;0.0;0;0.16278202470737976
AIRFLOW;AIRFLOW;;3;22.0;4.0;0.2823604060913706;0.30505617977528066;2,88E+11;0.0011772153475233511;0;5;0.0;0;0.06670230118472577
AI SAFETY;AI SAFETY;;1;8.0;4.0;0.27300613496932513;0.2880149812734079;0.0;5,81E+11;0;2;0.0;0;0.031940976852475836
AI SECURITY;AI SECURITY;;2;15.0;4.0;0.2770859277708593;0.29569288389513076;7,85E+10;8,55E+11;0;2;0.0;0;0.042811946000324924
ALEJANDRO;ALEJANDRO;;9;68.0;3.0;0.35205696202531644;0.3666666666666671;0.010302976036596587;0.003335617610537859;0;1;0.0;0;0.1536744128786758
ALEX;ALEX;;20;145.0;3.0;0.35829307568438;0.38314606741573104;0.013057885129542939;0.005942486965713761;0;6;0.0;0;0.34122818064960786
ALVARO;ALVARO;;46;345.0;3.0;0.3739495798319328;0.42209737827715477;0.05093091368829691;0.014124823533073263;0;8;0.0;0;0.5518300464748712
